time_block,EXPECTED_TIME_TO_SERVE_COMPOSITION,REAL_TIME_TO_SERVE_COMPOSITION,CLIENT_AGENT,SERVICES_ENGAGED
"2013-09-18 14_49_37_143","59511","59678","12",";3;9"
"2013-09-18 14_50_20_041","62573","100684","16",";7;9"
"2013-09-18 14_51_02_939","69479","141649","17",";8;9"
"2013-09-18 14_51_45_840","76133","176489","11",";3;9"
"2013-09-18 14_52_28_740","71799","225365","13",";4;9"
"2013-09-18 14_53_11_641","73912","266354","19",";5;9"
"2013-09-18 14_53_54_541","82257","303245","20",";7;9"
"2013-09-18 14_54_37_441","74387","350072","15",";10;9"
"2013-09-18 14_55_20_340","92755","387048","18",";3;9"
"2013-09-18 14_56_03_240","96069","427906","14",";8;9"
